002100,SNES_INIDISP
004358,SNES_DMA5IDXL
004359,SNES_DMA5IDXH
00435A,SNES_HDMA5LINES
004360,SNES_DMA6PARAM
004361,SNES_DMA6REG
004362,SNES_DMA6ADDRL
004363,SNES_DMA6ADDRM
004364,SNES_DMA6ADDRH
004365,SNES_DMA6CNTL
004366,SNES_DMA6CNTH
004367,SNES_HDMA6BANK
004368,SNES_DMA6IDXL
004369,SNES_DMA6IDXH
00436A,SNES_HDMA6LINES
004370,SNES_DMA7PARAM
004371,SNES_DMA7REG
004372,SNES_DMA7ADDRL
004373,SNES_DMA7ADDRM
004374,SNES_DMA7ADDRH
004375,SNES_DMA7CNTL
004376,SNES_DMA7CNTH
004377,SNES_HDMA7BANK
004378,SNES_DMA7IDXL
004379,SNES_DMA7IDXH
00437A,SNES_HDMA7LINES
